iterations,bucket0,magnetism0,bucket1,magnetism1,bucket2,magnetism2,bucket3,magnetism3,bucket4,magnetism4,bucket5,magnetism5,bucket6,magnetism6,bucket7,magnetism7,bucket8,magnetism8,bucket9,magnetism9
84,10,0.969136,4,0.96142,6,0.935185,0,0.912037,12,0.87963,213,0.876543,614,0.888889,1056,0.87963,1779,0.87963,1827,0.888889
85,2,0.967593,4,0.96142,6,0.935185,0,0.912037,4,0.878086,221,0.878086,606,0.887346,1048,0.878086,1771,0.878086,1819,0.887346
86,2,0.967593,4,0.96142,6,0.935185,0,0.912037,4,0.878086,213,0.876543,598,0.885802,1040,0.876543,1763,0.876543,1815,0.885802
87,2,0.967593,4,0.96142,2,0.933642,0,0.912037,4,0.876543,205,0.875,590,0.884259,1032,0.875,1755,0.875,1807,0.884259
88,2,0.967593,4,0.96142,2,0.933642,8,0.91358,4,0.876543,197,0.873457,582,0.882716,1028,0.873457,1747,0.873457,1799,0.882716
89,2,0.967593,4,0.96142,2,0.933642,0,0.912037,4,0.876543,189,0.871914,574,0.881173,1020,0.871914,1743,0.871914,1791,0.881173
90,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,181,0.87037,566,0.87963,1028,0.873457,1739,0.87037,1799,0.882716
91,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,173,0.868827,562,0.878086,1024,0.871914,1731,0.868827,1791,0.881173
92,2,0.967593,4,0.96142,2,0.933642,0,0.912037,4,0.876543,165,0.867284,554,0.876543,1016,0.87037,1723,0.867284,1783,0.87963
93,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,157,0.865741,550,0.875,1008,0.868827,1715,0.865741,1779,0.878086
94,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,149,0.864198,550,0.873457,1000,0.867284,1707,0.864198,1787,0.87963
95,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,157,0.865741,546,0.871914,996,0.865741,1699,0.862654,1779,0.878086
96,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,149,0.864198,538,0.87037,988,0.864198,1691,0.861111,1771,0.876543
97,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,141,0.862654,546,0.871914,980,0.862654,1683,0.859568,1763,0.875
98,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,133,0.861111,542,0.87037,976,0.861111,1675,0.858025,1755,0.873457
99,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,125,0.859568,534,0.868827,968,0.859568,1667,0.856481,1751,0.871914
100,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,121,0.858025,526,0.867284,960,0.858025,1659,0.854938,1747,0.87037
101,2,0.967593,4,0.96142,10,0.935185,0,0.912037,0,0.875,113,0.856481,518,0.865741,952,0.856481,1651,0.853395,1739,0.868827
102,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,105,0.854938,510,0.864198,944,0.854938,1643,0.851852,1731,0.867284
103,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,113,0.856481,506,0.862654,936,0.853395,1635,0.850309,1723,0.865741
104,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,117,0.858025,498,0.861111,932,0.851852,1627,0.848765,1715,0.864198
105,2,0.967593,4,0.96142,2,0.933642,0,0.912037,0,0.875,113,0.856481,506,0.862654,924,0.850309,1619,0.847222,1707,0.862654
106,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,105,0.854938,514,0.864198,916,0.848765,1611,0.845679,1699,0.861111
107,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,97,0.853395,510,0.862654,908,0.847222,1607,0.844136,1691,0.859568
108,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,89,0.851852,502,0.861111,900,0.845679,1599,0.842593,1683,0.858025
109,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,81,0.850309,494,0.859568,896,0.844136,1595,0.841049,1675,0.856481
110,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,73,0.848765,486,0.858025,888,0.842593,1587,0.839506,1667,0.854938
111,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,65,0.847222,478,0.856481,880,0.841049,1579,0.837963,1659,0.853395
112,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,57,0.845679,470,0.854938,876,0.839506,1575,0.83642,1651,0.851852
113,2,0.967593,0,0.959877,2,0.933642,0,0.912037,0,0.875,49,0.844136,462,0.853395,868,0.837963,1583,0.837963,1647,0.850309
114,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,45,0.842593,462,0.851852,860,0.83642,1575,0.83642,1639,0.848765
115,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,41,0.841049,454,0.850309,852,0.834877,1579,0.837963,1635,0.847222
116,2,0.967593,0,0.959877,10,0.933642,0,0.912037,0,0.875,49,0.842593,446,0.848765,844,0.833333,1571,0.83642,1631,0.845679
117,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,41,0.841049,438,0.847222,840,0.83179,1563,0.834877,1631,0.844136
118,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,33,0.839506,430,0.845679,832,0.830247,1563,0.833333,1623,0.842593
119,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,25,0.837963,422,0.844136,836,0.83179,1559,0.83179,1619,0.841049
120,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,33,0.839506,414,0.842593,832,0.830247,1551,0.830247,1611,0.839506
121,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,41,0.841049,406,0.841049,824,0.828704,1543,0.828704,1603,0.837963
122,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,37,0.839506,398,0.839506,816,0.82716,1535,0.82716,1599,0.83642
123,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,29,0.837963,394,0.837963,816,0.825617,1527,0.825617,1595,0.834877
124,2,0.967593,0,0.959877,2,0.932099,0,0.912037,0,0.875,37,0.839506,390,0.83642,824,0.82716,1519,0.824074,1587,0.833333
125,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,33,0.837963,382,0.834877,816,0.825617,1511,0.822531,1583,0.83179
126,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,29,0.83642,390,0.83642,808,0.824074,1507,0.820988,1575,0.830247
127,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,21,0.834877,382,0.834877,800,0.822531,1499,0.819444,1567,0.828704
128,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,13,0.833333,374,0.833333,792,0.820988,1495,0.817901,1571,0.830247
129,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,5,0.83179,366,0.83179,784,0.819444,1487,0.816358,1563,0.828704
130,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.830247,358,0.830247,776,0.817901,1479,0.814815,1555,0.82716
131,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,5,0.83179,354,0.828704,784,0.819444,1471,0.813272,1563,0.828704
132,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.830247,350,0.82716,776,0.817901,1467,0.811728,1571,0.830247
133,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,9,0.83179,346,0.825617,768,0.816358,1463,0.810185,1579,0.83179
134,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,5,0.830247,338,0.824074,760,0.814815,1455,0.808642,1575,0.830247
135,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,5,0.830247,334,0.822531,752,0.813272,1447,0.807099,1567,0.828704
136,2,0.967593,8,0.96142,2,0.932099,0,0.910494,0,0.875,5,0.830247,330,0.820988,744,0.811728,1443,0.805556,1559,0.82716
137,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,5,0.830247,326,0.819444,736,0.810185,1439,0.804012,1555,0.825617
138,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.828704,318,0.817901,728,0.808642,1443,0.805556,1559,0.82716
139,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.828704,310,0.816358,732,0.810185,1439,0.804012,1555,0.825617
140,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.828704,302,0.814815,724,0.808642,1435,0.802469,1555,0.824074
141,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.828704,298,0.813272,716,0.807099,1427,0.800926,1551,0.822531
142,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,9,0.830247,290,0.811728,708,0.805556,1419,0.799383,1547,0.820988
143,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.828704,298,0.813272,700,0.804012,1423,0.800926,1543,0.819444
144,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.875,1,0.828704,290,0.811728,692,0.802469,1415,0.799383,1535,0.817901
145,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,282,0.810185,684,0.800926,1407,0.79784,1527,0.816358
146,2,0.967593,0,0.959877,2,0.932099,8,0.912037,0,0.873457,1,0.828704,274,0.808642,676,0.799383,1399,0.796296,1519,0.814815
147,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,266,0.807099,676,0.79784,1395,0.794753,1527,0.816358
148,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,262,0.805556,668,0.796296,1391,0.79321,1519,0.814815
149,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,254,0.804012,660,0.794753,1395,0.794753,1515,0.813272
150,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,250,0.802469,652,0.79321,1387,0.79321,1507,0.811728
151,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,250,0.800926,644,0.791667,1379,0.791667,1499,0.810185
152,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,242,0.799383,636,0.790123,1371,0.790123,1491,0.808642
153,2,0.967593,0,0.959877,2,0.932099,0,0.910494,0,0.873457,1,0.828704,238,0.79784,632,0.78858,1371,0.78858,1483,0.807099
